,num_followers,num_pub,num_fav,num_alb,num_fol,num_wal,time,top_plays,top_favs,top_genre
0,7596,130,1809,2,52,11825,12,145367,2814,Bass Music
1,4748,206,5045,11,896,24431,9,4049,161,Hip Hop
2,4495,427,8551,31,1358,7821,12,7238,192,Industrial
3,4419,310,4481,8,169,7428,11,52399,1693,Bass Music
4,4103,194,4760,30,605,2930,12,44409,308,Downtempo
5,4008,5,0,14,1,250,12,46413,533,Newbie
6,3684,287,3182,17,278,4201,11,38477,1143,Hip Hop
7,3321,111,7418,30,753,5649,10,12685,401,Future Bass
8,3207,137,1401,1,49,2200,12,61853,1764,Bass Music
9,3172,209,21902,1,1483,6409,11,17393,644,uncategorized
10,3168,132,4254,2,710,11676,5,16831,642,Hip Hop
11,3038,135,6321,2,290,4791,7,24673,966,Lo-Fi
12,2990,231,13064,19,364,4504,5,905,65,Chiptune
13,2716,79,14498,16,359,7844,6,27655,867,Future Bass
14,2704,82,6776,1,308,4679,10,18705,677,uncategorized
15,2671,274,841,8,178,1898,12,25785,859,Synthwave
16,2585,202,4596,19,170,2247,12,13715,451,Ambient
17,2576,339,21747,45,876,8292,6,2038,131,Experimental
18,2491,47,7679,10,406,13650,7,8568,337,Electro
19,2387,429,4738,34,163,5132,10,595,64,Drum & Bass
20,2313,433,5411,14,88,3838,9,7245,312,uncategorized
21,2226,205,7393,14,152,27429,8,4572,221,EDM
22,2206,165,2055,6,99,3554,10,394,41,Rock
23,2184,106,8360,36,64,13004,7,12298,528,Hip Hop
24,2149,121,5335,7,243,9819,9,30608,915,uncategorized
25,2116,122,8743,11,2138,5300,9,7337,346,Drum & Bass
26,2107,144,8184,4,204,3965,8,232,26,House
27,2028,255,8488,8,280,4448,12,11111,303,Techno
28,2009,1334,133,3,120,814,11,7207,257,uncategorized
29,1975,99,3171,6,9,2601,11,1135,66,Drum & Bass
30,1946,4,5220,0,227,21021,8,615,63,Other
31,1892,186,3317,7,115,3202,10,1893,86,EDM
32,1821,90,4042,5,610,4968,10,3124,250,uncategorized
33,1808,82,3960,2,163,1649,5,600,59,EDM
34,1796,134,6273,5,118,8206,8,16544,633,EDM
35,1743,34,3003,0,121,985,12,4459,239,uncategorized
36,1701,118,6255,10,585,1262,5,3049,112,Other
37,1695,125,3888,5,119,5113,5,12117,473,Experimental
38,1661,672,16159,4,3441,1490,11,920,122,uncategorized
39,1617,181,1348,14,35,2000,12,18216,506,Other
40,1610,51,2674,11,183,2258,9,1953,135,Ambient
41,1593,24,1395,0,253,1644,12,38841,651,uncategorized
42,1580,87,1955,17,96,2116,6,11655,366,Hip Hop
43,1547,35,3937,3,178,15531,6,26663,844,Future Bass
44,1502,109,6922,6,333,3602,8,34,3,Lo-Fi
45,1487,121,3512,9,147,1381,12,8009,255,Drum & Bass
46,1483,61,3578,3,182,383,11,11254,412,uncategorized
47,1429,59,6316,3,301,1095,9,7792,237,Funk
48,1418,1108,5294,21,126,10476,3,234,35,Soundtrack
49,1414,166,6386,5,267,4037,11,1103,107,uncategorized
50,1410,2,2852,2,39,6696,4,3603,205,Trap
51,1363,1,4051,0,78,4723,10,17393,644,uncategorized
52,1361,35,3264,3,115,1094,7,11565,573,Other
53,1352,100,1300,7,321,1002,11,2593,152,Lo-Fi
