,num_followers,num_pub,num_fav,num_alb,num_fol,num_wal,time,top_plays,top_favs,top_genre
0,7596,130,1809,2,7596,11825,about 12 years ago,145366,2814,Bass Music
1,4748,206,5045,11,4748,24430,about 9 years ago,3984,160,Hip Hop
2,4495,427,8551,31,4495,7821,about 12 years ago,7238,192,Industrial
3,4419,310,4481,8,4419,7428,about 11 years ago,52398,1693,Bass Music
4,4103,194,4760,30,4103,2930,about 12 years ago,44409,308,Downtempo
5,4008,5,0,14,4008,250,about 12 years ago,46412,533,Newbie
6,3684,287,3182,17,3684,4201,about 11 years ago,38475,1143,Hip Hop
7,3321,111,7418,30,3321,5649,about 10 years ago,12685,401,Future Bass
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3172,209,21902,1,3172,6409,about 11 years ago,17393,644,uncategorized
10,3168,132,4254,2,3168,11676,about 5 years ago,16831,642,Hip Hop
11,3038,135,6321,2,3038,4791,about 7 years ago,24672,966,Lo-Fi
12,2990,231,13064,19,2990,4504,about 5 years ago,905,65,Chiptune
13,2716,79,14497,16,2716,7844,about 6 years ago,27653,867,Future Bass
14,2704,82,6776,1,2704,4679,about 10 years ago,18705,677,uncategorized
15,2671,274,841,8,2671,1898,about 12 years ago,25784,859,Synthwave
16,2585,202,4596,19,2585,2247,about 12 years ago,13714,451,Ambient
17,2576,339,21746,45,2576,8291,about 6 years ago,2029,131,Experimental
18,2491,47,7679,10,2491,13650,about 7 years ago,8568,337,Electro
19,2387,429,4738,34,2387,5132,about 10 years ago,595,64,Drum & Bass
20,2313,433,5411,14,2313,3838,about 9 years ago,7245,312,uncategorized
21,2226,205,7393,14,2226,27429,about 8 years ago,4570,221,EDM
22,2206,165,2055,6,2206,3554,about 10 years ago,393,41,Rock
23,2184,106,8360,36,2184,13004,about 7 years ago,12298,528,Hip Hop
24,2149,121,5335,7,2149,9819,about 9 years ago,30608,915,uncategorized
25,2116,122,8743,11,2116,5300,about 9 years ago,7336,346,Drum & Bass
26,2107,144,8184,4,2107,3965,about 8 years ago,232,26,House
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,2028,255,8488,8,2028,4448,about 12 years ago,11111,303,Techno
29,2009,1334,133,3,2009,814,about 11 years ago,7207,257,uncategorized
30,1975,99,3171,6,1975,2601,about 11 years ago,1135,66,Drum & Bass
31,1946,4,5220,0,1946,21021,about 8 years ago,615,63,Other
32,1892,186,3317,7,1892,3202,about 10 years ago,1893,86,EDM
33,1821,90,4042,5,1821,4968,about 10 years ago,3124,250,uncategorized
34,1808,82,3959,2,1808,1649,about 5 years ago,599,59,EDM
35,1796,134,6273,5,1796,8206,about 8 years ago,16544,633,EDM
36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,1701,118,6255,10,1701,1262,about 5 years ago,3049,112,Other
38,1695,125,3888,5,1695,5113,about 5 years ago,12117,473,Experimental
39,1661,672,16159,4,1661,1490,about 11 years ago,920,122,uncategorized
40,1617,181,1348,14,1617,2000,about 12 years ago,18216,506,Other
41,1610,51,2674,11,1610,2258,about 9 years ago,1953,135,Ambient
42,1593,24,1395,0,1593,1644,about 12 years ago,38841,651,uncategorized
43,1580,87,1955,17,1580,2116,about 6 years ago,11655,366,Hip Hop
44,1547,35,3937,3,1547,15531,about 6 years ago,26663,844,Future Bass
45,1502,109,6922,6,1502,3602,about 8 years ago,34,3,Lo-Fi
46,1487,121,3512,9,1487,1381,about 12 years ago,8009,255,Drum & Bass
47,1483,61,3578,3,1483,383,about 11 years ago,11254,412,uncategorized
48,1429,59,6316,3,1429,1095,about 9 years ago,7792,237,Funk
49,1418,1108,5294,21,1418,10476,about 3 years ago,217,33,Soundtrack
50,1414,166,6386,5,1414,4037,about 11 years ago,1102,107,uncategorized
51,1410,2,2852,2,1410,6696,about 4 years ago,3603,205,Trap
52,1363,1,4051,0,1363,4723,about 10 years ago,17393,644,uncategorized
53,1361,35,3264,3,1361,1094,about 7 years ago,11565,573,Other
54,1352,100,1300,7,1352,1002,about 11 years ago,2593,152,Lo-Fi
55,1350,317,6862,14,1350,2875,about 10 years ago,4755,252,Lo-Fi
56,1344,917,6612,9,1344,5998,about 5 years ago,114,12,Trap
57,1340,274,1149,2,1340,2129,about 6 years ago,32178,1029,Trap
58,1339,7,2029,10,1339,2948,about 10 years ago,10899,264,Lo-Fi
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,1330,293,7198,1,1330,1819,about 12 years ago,2853,151,Techno
61,1328,2,2430,9,1328,6678,about 6 years ago,390,52,Rock
62,1313,90,2372,2,1313,3486,about 10 years ago,9140,305,uncategorized
63,1303,92,1322,7,1303,3483,about 9 years ago,13480,447,uncategorized
64,1303,84,6577,2,1303,4750,about 5 years ago,2637,129,Future Bass
65,1299,334,1986,19,1299,2571,about 9 years ago,105,11,EDM
66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,1295,446,1971,9,1295,11297,about 11 years ago,1586,72,Trap
68,1260,53,862,2,1260,2297,about 10 years ago,9550,334,Future Bass
69,1248,282,6987,19,1248,2506,about 11 years ago,2844,199,uncategorized
70,1243,18,6120,1,1243,10790,about 11 years ago,4868,258,Drum & Bass
71,1219,151,5076,10,1219,3228,about 11 years ago,3296,183,uncategorized
72,1213,26,2471,2,1213,1582,about 6 years ago,8451,284,Hip Hop
73,1203,101,4355,1,1203,1074,about 12 years ago,4967,173,uncategorized
74,1195,68,1470,17,1195,1191,about 8 years ago,197,27,EDM
75,1190,27,4723,12,1190,8082,about 6 years ago,11227,413,Drum & Bass
76,1180,101,2536,9,1180,5281,about 9 years ago,2832,175,House
77,1168,219,12604,27,1168,3338,about 9 years ago,81,5,uncategorized
78,1164,104,5359,13,1164,967,about 11 years ago,3572,198,uncategorized
79,1159,39,2602,1,1159,6830,about 8 years ago,17393,644,uncategorized
80,1158,23,4141,0,1158,15279,about 4 years ago,546,60,Ambient
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,1151,118,1805,8,1151,1584,about 9 years ago,38475,1143,Hip Hop
83,1149,466,10866,13,1149,3128,about 7 years ago,131,18,House
84,1138,133,2426,21,1138,4413,about 9 years ago,3005,129,Trap
85,1114,125,3909,5,1114,3766,about 5 years ago,661,47,Hip Hop
86,1108,713,6438,0,1108,943,about 10 years ago,2735,140,Trap
87,1099,68,2860,3,1099,1559,about 7 years ago,27653,867,Future Bass
88,1093,74,2878,0,1093,4945,about 9 years ago,31564,933,uncategorized
89,1092,24,2665,5,1092,10396,about 5 years ago,3603,205,Trap
90,1084,15,1293,0,1084,3088,about 6 years ago,5197,278,House
91,1083,86,4802,2,1083,2713,about 10 years ago,891,99,uncategorized
92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,1077,115,17,0,1077,86,about 10 years ago,16062,368,uncategorized
94,1071,60,4409,6,1071,2603,about 4 years ago,229,39,Downtempo
95,1058,80,1333,15,1058,525,about 7 years ago,62,8,Electro
96,1053,28,1941,2,1053,286,about 11 years ago,9632,305,Other
97,1049,147,1868,21,1049,3378,about 10 years ago,314,34,House
98,1045,101,1434,8,1045,5681,about 6 years ago,390,54,Acoustic
99,1043,173,11851,5,1043,2445,about 12 years ago,5316,148,uncategorized
100,1035,30,321,1,1035,264,about 4 years ago,1330,110,Bass Music
101,1030,2,1650,3,1030,457,about 9 years ago,70,6,Newbie
102,1030,35,4349,3,1030,3685,about 6 years ago,3606,168,Trap
103,1027,38,1209,5,1027,2420,about 6 years ago,35153,1292,Trap
104,1022,31,2577,7,1022,6855,about 7 years ago,91,12,Indie
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,1006,85,2398,3,1006,1351,about 11 years ago,14109,314,uncategorized
107,992,57,3122,9,992,6265,about 5 years ago,50,9,Newbie
108,984,43,9013,0,984,5189,about 4 years ago,514,45,Hip Hop
109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,967,7,278,0,967,765,about 4 years ago,26270,682,Hip Hop
111,964,85,2459,7,964,1337,about 7 years ago,214,27,Birdcore
112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,957,246,3515,1,957,2755,about 12 years ago,861,91,uncategorized
115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,940,39,4390,14,940,2200,about 10 years ago,8389,341,uncategorized
118,937,420,3637,7,937,1924,about 8 years ago,17393,644,uncategorized
119,936,72,2351,3,936,1340,about 6 years ago,1812,107,House
120,935,528,517,1,935,565,about 12 years ago,7045,176,uncategorized
121,934,9,3435,2,934,4342,about 5 years ago,4041,171,Trap
122,934,533,953,32,934,1123,about 8 years ago,27,2,Newbie
123,928,127,1012,2,928,1456,about 11 years ago,92,16,Bass Music
124,927,55,6325,0,927,2570,about 12 years ago,6157,172,uncategorized
125,923,49,3908,0,923,5355,about 7 years ago,19108,628,uncategorized
126,916,90,810,0,916,470,about 12 years ago,6161,282,uncategorized
127,915,26,2592,0,915,833,about 7 years ago,499,45,Hip Hop
128,910,54,562,1,910,848,about 12 years ago,990,75,Downtempo
129,909,236,2372,8,909,422,about 12 years ago,7769,143,Techno
